unit,caste,land_unit,num_men,man_entity,armour,charge_bonus,melee_attack,melee_defence,morale,primary_melee_weapon,mass,hit_points,size,bonus_v_large,damage,ap_damage,melee_weapon_type,melee_attack_interval,armour_value
wh2_dlc09_skv_cha_tretch_craventail,lord,wh2_dlc09_skv_cha_tretch_craventail,1,wh2_dlc09_skv_infantry_fast_hero_tretch_craventail,wh2_main_heavy_metal_90,40,40,70,65,wh2_dlc09_skv_cha_tretch_craventail,450.0000,8,small,25,280,120,spear,4.0000,90
wh2_dlc09_tmb_art_casket_of_souls_0,chariot,wh2_dlc09_tmb_art_casket_of_souls_0,1,wh2_dlc09_tmb_skeleton,wh2_main_bone_80,8,20,14,60,wh2_dlc09_tmb_sword,80.0000,8,small,0,20,6,sword,4.3000,80
wh2_dlc09_tmb_art_screaming_skull_catapult_0,warmachine,wh2_dlc09_tmb_art_screaming_skull_catapult_0,44,wh2_dlc16_tmb_skeleton_crew,wh2_main_bone_20,5,10,6,40,wh2_dlc09_tmb_sword_short,80.0000,8,small,0,17,3,sword,4.4000,20
wh2_dlc09_tmb_cav_hexwraiths,melee_cavalry,wh2_dlc09_tmb_cav_hexwraiths,60,wh3_main_arkhan_tmb_cavalry_rider_standard_ethereal,wh_main_body_0,61,36,34,50,wh3_main_tmb_scythe_hexwraith,100.0000,8,medium,0,0,53,axe,4.0000,0
wh2_dlc09_tmb_cav_necropolis_knights_0,monstrous_cavalry,wh2_dlc09_tmb_cav_necropolis_knights_0,24,wh2_dlc09_tmb_skeleton,wh2_main_bone_110,52,40,43,60,wh2_dlc09_tmb_necropolis_knights_lance,80.0000,8,small,0,25,42,lance,5.4000,110
wh2_dlc09_tmb_cav_necropolis_knights_1,monstrous_cavalry,wh2_dlc09_tmb_cav_necropolis_knights_1,24,wh2_dlc09_tmb_skeleton,wh2_main_bone_110,40,32,37,60,wh2_dlc09_tmb_necropolis_knights_halberd,80.0000,8,small,32,19,36,lance,5.4000,110
wh2_dlc09_tmb_cav_necropolis_knights_ror,monstrous_cavalry,wh2_dlc09_tmb_cav_necropolis_knights_ror,24,wh2_dlc09_tmb_skeleton,wh2_main_bone_110,74,55,56,75,wh2_dlc09_tmb_necropolis_knights_lance,80.0000,8,small,0,25,42,lance,5.4000,110
wh2_dlc09_tmb_cav_nehekhara_horsemen_0,melee_cavalry,wh2_dlc09_tmb_cav_nehekhara_horsemen_0,60,wh2_dlc09_tmb_skeleton,wh2_main_bone_50,26,28,34,50,wh2_dlc09_tmb_sword_nehekhara_horsemen,80.0000,8,small,0,28,10,sword,5.0000,50
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,melee_cavalry,wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,60,wh2_dlc09_tmb_skeleton,wh2_main_bone_80,50,43,52,65,wh2_dlc09_tmb_sword_nehekhara_horsemen,80.0000,8,small,0,28,10,sword,5.0000,80
wh2_dlc09_tmb_cav_skeleton_horsemen_0,melee_cavalry,wh2_dlc09_tmb_cav_skeleton_horsemen_0,60,wh2_dlc09_tmb_skeleton,wh2_main_bone_30,34,24,26,45,wh2_dlc09_tmb_cavalry_spear,80.0000,8,small,0,21,7,lance,4.5000,30
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,missile_cavalry,wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,60,wh2_dlc09_tmb_skeleton_missile_mounted,wh2_main_bone_30,25,20,22,45,wh2_dlc09_tmb_sword_short,80.0000,8,small,0,17,3,sword,4.4000,30
wh2_dlc09_tmb_cha_arkhan_0,lord,wh2_dlc09_tmb_cha_arkhan_0,1,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_plate_90,12,40,50,75,wh2_dlc09_tmb_sword_hero_lord,600.0000,8,small,0,290,160,sword,4.0000,90
wh2_dlc09_tmb_cha_arkhan_1,lord,wh2_dlc09_tmb_cha_arkhan_1,1,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_plate_90,32,40,50,75,wh2_dlc09_tmb_sword_hero_lord,600.0000,8,small,0,290,160,sword,4.0000,90
wh2_dlc09_tmb_cha_arkhan_2,lord,wh2_dlc09_tmb_cha_arkhan_2,6,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_plate_110,75,30,36,75,wh2_dlc09_tmb_chariot_lord,600.0000,8,small,0,260,140,axe,4.0000,110
wh2_dlc09_tmb_cha_khalida_0,lord,wh2_dlc09_tmb_cha_khalida_0,1,wh2_dlc09_tmb_skeleton_khalida,wh2_main_bone_55,70,65,60,80,wh2_dlc09_tmb_staff_khalida,550.0000,8,small,0,270,180,sword,3.7000,55
wh2_dlc09_tmb_cha_khalida_1,lord,wh2_dlc09_tmb_cha_khalida_1,1,wh2_dlc09_tmb_skeleton_khalida,wh2_main_bone_110,70,65,60,80,wh2_dlc09_tmb_necroserpent_khalida,550.0000,8,small,0,135,315,sword,4.0000,110
wh2_dlc09_tmb_cha_khalida_2,lord,wh2_dlc09_tmb_cha_khalida_2,2,wh2_dlc09_tmb_skeleton_khalida,wh2_main_bone_80,90,35,26,80,wh2_dlc09_tmb_chariot_khalida,550.0000,8,small,0,260,140,axe,4.0000,80
wh2_dlc09_tmb_cha_khatep_0,lord,wh2_dlc09_tmb_cha_khatep_0,1,wh2_dlc16_tmb_skeleton_khatep_hero_lord,wh2_main_bone_40,10,28,38,75,wh2_dlc09_tmb_sword_hero_khatep,800.0000,8,small,0,210,90,sword,4.0000,40
wh2_dlc09_tmb_cha_khatep_1,lord,wh2_dlc09_tmb_cha_khatep_1,1,wh2_dlc16_tmb_skeleton_khatep_hero_lord,wh2_main_bone_40,30,28,38,75,wh2_dlc09_tmb_sword_hero_khatep,800.0000,8,small,0,210,90,sword,4.0000,40
wh2_dlc09_tmb_cha_khatep_2,lord,wh2_dlc09_tmb_cha_khatep_2,2,wh2_dlc16_tmb_skeleton_khatep_hero_lord,wh2_main_bone_80,75,28,24,75,wh2_dlc09_tmb_chariot_lord,800.0000,8,small,0,260,140,axe,4.0000,80
